Sheet3: rows=262, cols=5

A1=国家 | B1=2025九大区模块 | C1=2025九大区 | D1=2026年对应模块 | E1=2026九大区
A34=马尔代夫 | B34=马尔代夫 | C34=亚洲1 | D34=马尔代夫 | E34=亚洲1
A35=阿根廷 | B35=智利 | C35=美洲 | D35=智利 | E35=美洲
A36=厄瓜多尔 | B36=智利 | C36=美洲 | D36=智利 | E36=美洲
A37=洪都拉斯 | B37=加勒比海 | C37=美洲 | D37=加勒比海 | E37=美洲
A38=美国 | B38=0 | C38=#N/A | D38=0 | E38=#N/A
A39=秘鲁 | B39=秘鲁 | C39=美洲 | D39=秘鲁 | E39=美洲
A40=委内瑞拉 | B40=0 | C40=#N/A | D40=0 | E40=#N/A
A41=牙买加 | B41=0 | C41=#N/A | D41=0 | E41=#N/A
A42=智利 | B42=智利 | C42=美洲 | D42=智利 | E42=美洲
A43=乌拉圭 | B43=秘鲁 | C43=美洲 | D43=秘鲁 | E43=美洲
A44=巴拉圭 | B44=哥伦比亚 | C44=美洲 | D44=哥伦比亚 | E44=美洲
A45=巴拿马 | B45=智利 | C45=美洲 | D45=智利 | E45=美洲
A46=玻利维亚 | B46=哥伦比亚 | C46=美洲 | D46=哥伦比亚 | E46=美洲
A47=哥伦比亚 | B47=哥伦比亚 | C47=美洲 | D47=哥伦比亚 | E47=美洲
A48=哥斯达黎加 | B48=加勒比海 | C48=美洲 | D48=加勒比海 | E48=美洲
A49=多米尼加 | B49=加勒比海 | C49=美洲 | D49=加勒比海 | E49=美洲
A50=墨西哥 | B50=墨西哥-1 | C50=美洲 | D50=墨西哥-1 | E50=美洲
A51=萨尔瓦多 | B51=加勒比海 | C51=美洲 | D51=加勒比海 | E51=美洲
A52=危地马拉 | B52=加勒比海 | C52=美洲 | D52=加勒比海 | E52=美洲
A53=阿尔及利亚 | B53=阿尔及利亚 | C53=非洲 | D53=埃及-2 | E53=非洲
A54=埃塞俄比亚 | B54=尼日利亚/埃塞俄比亚 | C54=非洲 | D54=尼日利亚/埃塞俄比亚 | E54=非洲
A55=安哥拉 | B55=肯尼亚/南非 | C55=非洲 | D55=南非/安格拉 | E55=非洲
A56=安哥拉1 | B56=科威特 | C56=中东 | D56=科威特 | E56=中东
A57=冈比亚 | B57=0 | C57=#N/A | D57=0 | E57=#N/A
A58=刚果 | B58=肯尼亚/南非 | C58=非洲 | D58=肯尼亚/坦桑尼亚 | E58=非洲
A59=加纳 | B59=0 | C59=#N/A | D59=0 | E59=#N/A
A60=加蓬 | B60=0 | C60=#N/A | D60=0 | E60=#N/A
A61=喀麦隆 | B61=肯尼亚/南非 | C61=非洲 | D61=肯尼亚/坦桑尼亚 | E61=非洲
A62=科特迪瓦 | B62=0 | C62=#N/A | D62=非洲法语区 | E62=非洲
A63=肯尼亚 | B63=肯尼亚/南非 | C63=非洲 | D63=肯尼亚/坦桑尼亚 | E63=非洲
A64=利比里亚 | B64=0 | C64=#N/A | D64=0 | E64=#N/A
A65=利比亚 | B65=肯尼亚/南非 | C65=非洲 | D65=肯尼亚/坦桑尼亚 | E65=非洲
A66=马拉维 | B66=肯尼亚/南非 | C66=非洲 | D66=尼日利亚/埃塞俄比亚 | E66=非洲
A67=毛里求斯 | B67=0 | C67=#N/A | D67=0 | E67=#N/A
A68=摩洛哥 | B68=肯尼亚/南非 | C68=非洲 | D68=肯尼亚/坦桑尼亚 | E68=非洲
A69=摩洛哥1 | B69=None | C69=None | D69=非洲法语区 | E69=非洲
A70=莫桑比克 | B70=0 | C70=#N/A | D70=0 | E70=#N/A
A71=纳米比亚 | B71=肯尼亚/南非 | C71=非洲 | D71=肯尼亚/坦桑尼亚 | E71=非洲
A72=南非 | B72=肯尼亚/南非 | C72=非洲 | D72=肯尼亚/坦桑尼亚 | E72=非洲
A73=南苏丹 | B73=肯尼亚/南非 | C73=非洲 | D73=肯尼亚/坦桑尼亚 | E73=非洲
A74=尼日利亚 | B74=肯尼亚/南非 | C74=非洲 | D74=肯尼亚/坦桑尼亚 | E74=非洲
A75=塞内加尔 | B75=肯尼亚/南非 | C75=非洲 | D75=俄罗斯（西南） | E75=俄罗斯
A76=坦桑尼亚 | B76=肯尼亚/南非 | C76=非洲 | D76=肯尼亚/坦桑尼亚 | E76=非洲
A77=突尼斯 | B77=肯尼亚/南非 | C77=非洲 | D77=非洲法语区 | E77=非洲
A78=乌干达 | B78=0 | C78=#N/A | D78=0 | E78=#N/A
A79=辽宁机电 | B79=0 | C79=#N/A | D79=0 | E79=#N/A
A80=日本 | B80=0 | C80=#N/A | D80=朝鲜-韩国 | E80=亚洲1
A81=中国 | B81=蒙古 | C81=中亚 | D81=蒙古 | E81=中亚
A82=危地马拉1 | B82=中美洲-2 | C82=美洲 | D82=加勒比海 | E82=美洲
A83=尼日利亚1 | B83=尼日利亚/埃塞俄比亚 | C83=非洲 | D83=尼日利亚/埃塞俄比亚 | E83=非洲
A84=中国1 | B84=朝鲜-韩国 | C84=亚洲1 | D84=朝鲜-韩国 | E84=亚洲1
A85=阿尔巴尼亚 | B85=0 | C85=#N/A | D85=0 | E85=#N/A
A86=爱尔兰 | B86=英国意大利 | C86=欧洲 | D86=英国意大利 | E86=欧洲
A87=保加利亚 | B87=0 | C87=#N/A | D87=0 | E87=#N/A
A88=比利时 | B88=0 | C88=#N/A | D88=0 | E88=#N/A
A89=冰岛 | B89=0 | C89=#N/A | D89=0 | E89=#N/A
A90=波兰 | B90=英国意大利 | C90=欧洲 | D90=英国意大利 | E90=欧洲
A91=丹麦 | B91=英国意大利 | C91=欧洲 | D91=英国意大利 | E91=欧洲
A92=德国 | B92=0 | C92=#N/A | D92=0 | E92=#N/A
A93=克罗地亚 | B93=英国意大利 | C93=欧洲 | D93=英国意大利 | E93=欧洲
A94=罗马尼亚 | B94=英国意大利 | C94=欧洲 | D94=英国意大利 | E94=欧洲
A95=摩尔多瓦 | B95=乌兹别克斯坦 | C95=中亚 | D95=乌兹别克斯坦 | E95=中亚
A96=葡萄牙 | B96=英国意大利 | C96=欧洲 | D96=英国意大利 | E96=欧洲
A97=塞尔维亚 | B97=英国意大利 | C97=欧洲 | D97=英国意大利 | E97=欧洲
A98=斯洛伐克 | B98=0 | C98=#N/A | D98=0 | E98=#N/A
A99=西班牙 | B99=0 | C99=#N/A | D99=0 | E99=#N/A
A100=意大利 | B100=0 | C100=#N/A | D100=0 | E100=#N/A
A101=英国 | B101=英国意大利 | C101=欧洲 | D101=英国意大利 | E101=欧洲
A102=东俄罗斯 | B102=俄罗斯（东部） | C102=俄罗斯 | D102=俄罗斯（东部） | E102=俄罗斯
A103=西俄罗斯 | B103=俄罗斯（中部） | C103=俄罗斯 | D103=俄罗斯（中部） | E103=俄罗斯
A104=阿塞拜疆 | B104=阿塞拜疆 | C104=中亚 | D104=阿塞拜疆 | E104=中亚
A105=爱沙尼亚 | B105=英国意大利 | C105=欧洲 | D105=英国意大利 | E105=欧洲
A106=格鲁吉亚 | B106=英国意大利 | C106=欧洲 | D106=乌兹别克斯坦 | E106=中亚
A107=立陶宛 | B107=0 | C107=#N/A | D107=0 | E107=#N/A
A108=乌克兰 | B108=英国意大利 | C108=欧洲 | D108=印度私营 | E108=亚洲2
A109=乌兹别克斯坦 | B109=乌兹别克斯坦 | C109=中亚 | D109=乌兹别克斯坦 | E109=中亚
A110=白俄罗斯 | B110=哈萨克斯坦-1 | C110=中亚 | D110=哈萨克斯坦-1 | E110=中亚
A111=哈萨克斯坦 | B111=哈萨克斯坦-1 | C111=中亚 | D111=哈萨克斯坦-1 | E111=中亚
A112=吉尔吉斯斯坦 | B112=哈萨克斯坦-1 | C112=中亚 | D112=哈萨克斯坦-1 | E112=中亚
A113=塔吉克斯坦 | B113=哈萨克斯坦-1 | C113=中亚 | D113=哈萨克斯坦-1 | E113=中亚
A114=土库曼斯坦 | B114=乌兹别克斯坦 | C114=中亚 | D114=乌兹别克斯坦 | E114=中亚
A115=亚美尼亚 | B115=哈萨克斯坦-1 | C115=中亚 | D115=哈萨克斯坦-1 | E115=中亚
A116=朝鲜 | B116=朝鲜-韩国 | C116=亚洲1 | D116=朝鲜-韩国 | E116=亚洲1
A117=韩国 | B117=0 | C117=#N/A | D117=朝鲜-韩国 | E117=亚洲1
A118=柬埔寨 | B118=金三角 | C118=亚洲1 | D118=金三角 | E118=亚洲1
A119=老挝 | B119=金三角 | C119=亚洲1 | D119=金三角 | E119=亚洲1
A120=缅甸 | B120=金三角 | C120=亚洲1 | D120=金三角 | E120=亚洲1
A121=斯里兰卡 | B121=澳大利亚 | C121=亚洲2 | D121=马尔代夫 | E121=亚洲1
A122=越南 | B122=越南-1 | C122=亚洲2 | D122=越南-1（工厂） | E122=亚洲2
A123=菲律宾 | B123=菲律宾 | C123=亚洲2 | D123=埃及-1 | E123=非洲
A124=泰国 | B124=泰国 | C124=亚洲1 | D124=泰国 | E124=亚洲1
A125=香港 | B125=朝鲜-韩国 | C125=亚洲1 | D125=香港-台湾 | E125=亚洲1
A126=香港1 | B126=None | C126=None | D126=泰国2 | E126=亚洲1
A127=巴布亚新几内亚 | B127=印度公建 | C127=亚洲2 | D127=印度公建 | E127=亚洲2
A128=斐济 | B128=澳大利亚 | C128=亚洲2 | D128=澳大利亚 | E128=亚洲2
A129=马来西亚 | B129=马来西亚 | C129=亚洲1 | D129=马来西亚 | E129=亚洲1
A130=蒙古 | B130=蒙古 | C130=中亚 | D130=蒙古 | E130=中亚
A131=文莱 | B131=泰国 | C131=亚洲1 | D131=泰国 | E131=亚洲1
A132=新西兰 | B132=澳大利亚 | C132=亚洲2 | D132=澳大利亚 | E132=亚洲2
A133=印尼 | B133=印尼-1 | C133=亚洲2 | D133=印尼-1 | E133=亚洲2
A134=印度 | B134=印度公建 | C134=亚洲2 | D134=印度公建 | E134=亚洲2
A135=新加坡 | B135=新加坡市政会 | C135=亚洲1 | D135=新加坡市政会 | E135=亚洲1
A136=澳大利亚 | B136=澳大利亚 | C136=亚洲2 | D136=澳大利亚 | E136=亚洲2
A137=阿尔及利亚1 | B137=阿尔及利亚 | C137=非洲 | D137=非洲法语区 | E137=非洲
A138=斯里兰卡1 | B138=澳大利亚 | C138=亚洲2 | D138=澳大利亚 | E138=亚洲2
A139=肯尼亚1 | B139=肯尼亚/南非 | C139=非洲 | D139=肯尼亚/坦桑尼亚 | E139=非洲
A140=秘鲁1 | B140=秘鲁 | C140=美洲 | D140=秘鲁 | E140=美洲
A141=阿联酋1 | B141=阿联酋-2 | C141=中东 | D141=阿联酋-2 | E141=中东
A142=匈牙利 | B142=英国意大利 | C142=欧洲 | D142=英国意大利 | E142=欧洲
A143=哈萨克斯坦1 | B143=哈萨克斯坦-2 | C143=中亚 | D143=塔吉克/哈萨克斯坦-2 | E143=中亚
A144=津巴布韦 | B144=肯尼亚/南非 | C144=非洲 | D144=南非/安格拉 | E144=非洲
A145=南苏丹 | B145=肯尼亚/南非 | C145=非洲 | D145=肯尼亚/坦桑尼亚 | E145=非洲
A146=巴基斯坦1 | B146=巴基斯坦 | C146=亚洲2 | D146=巴基斯坦 | E146=亚洲2
A147=所罗门群岛 | B147=哈萨克斯坦-1 | C147=中亚 | D147=哈萨克斯坦-1 | E147=中亚
A148=菲律宾1 | B148=菲律宾 | C148=亚洲2 | D148=菲律宾 | E148=亚洲2
A149=孟加拉2 | B149=纵向开发 | C149=中东 | D149=伊朗+阿曼 | E149=中东
A150=约旦 | B150=巴勒斯坦 | C150=中东 | D150=巴勒斯坦 | E150=中东
A151=印度2 | B151=纵向开发 | C151=中东 | D151=伊朗+阿曼 | E151=中东
A152=阿联酋2 | B152=阿联酋-2 | C152=中东 | D152=阿联酋-2 | E152=中东
A153=塞内加尔1 | B153=沙特-1 | C153=中东 | D153=沙特-1 | E153=中东
A154=巴拿马1 | B154=加勒比海 | C154=美洲 | D154=加勒比海 | E154=美洲
A155=瑞典 | B155=英国意大利 | C155=欧洲 | D155=英国意大利 | E155=欧洲
A156=挪威 | B156=英国意大利 | C156=欧洲 | D156=英国意大利 | E156=欧洲
A157=荷兰 | B157=英国意大利 | C157=欧洲 | D157=英国意大利 | E157=欧洲
A158=拉脱维亚 | B158=英国意大利 | C158=欧洲 | D158=英国意大利 | E158=欧洲
A159=日本 | B159=朝鲜-韩国 | C159=亚洲1 | D159=朝鲜-韩国 | E159=亚洲1
A160=韩国 | B160=朝鲜-韩国 | C160=亚洲1 | D160=朝鲜-韩国 | E160=亚洲1
A161=新加坡1 | B161=新加坡HDB | C161=亚洲1 | D161=新加坡HDB | E161=亚洲1
A162=俄罗斯1 | B162=俄罗斯（西部） | C162=俄罗斯 | D162=俄罗斯（西部） | E162=俄罗斯
A163=刚果1 | B163=墨西哥-2 | C163=美洲 | D163=墨西哥-2 | E163=美洲
A164=澳大利亚1 | B164=澳大利亚 | C164=亚洲2 | D164=澳大利亚 | E164=亚洲2
A165=俄罗斯2 | B165=俄罗斯（西南） | C165=俄罗斯 | D165=俄罗斯（西南） | E165=俄罗斯
A166=白俄罗斯1 | B166=俄罗斯（西部） | C166=俄罗斯 | D166=俄罗斯（西部） | E166=俄罗斯
A167=巴西1 | B167=俄罗斯（中部） | C167=俄罗斯 | D167=俄罗斯（中部） | E167=俄罗斯
A168=阿联酋3 | B168=纵向开发 | C168=中东 | D168=阿联酋3 | E168=中东
A169=沙特2 | B169=阿联酋-1 | C169=中东 | D169=阿联酋-1 | E169=中东
A170=越南1 | B170=越南-2 | C170=亚洲2 | D170=越南-2 | E170=亚洲2
A171=俄罗斯3 | B171=俄罗斯（中南） | C171=俄罗斯 | D171=俄罗斯（中南） | E171=俄罗斯
A172=波兰1 | B172=科威特 | C172=中东 | D172=科威特 | E172=中东
A173=埃及1 | B173=沙特-1 | C173=中东 | D173=埃及-2 | E173=非洲
A174=阿曼1 | B174=纵向开发 | C174=中东 | D174=伊朗+阿曼 | E174=中东
A175=塔吉克斯坦1 | B175=中亚-塔吉克斯坦 | C175=中亚 | D175=塔吉克/哈萨克斯坦-2 | E175=中亚
A176=吉尔吉斯斯坦1 | B176=纵向开发 | C176=中东 | D176=哈萨克斯坦-3 | E176=中亚
A177=印尼2 | B177=越南-2 | C177=亚洲2 | D177=越南-2 | E177=亚洲2
A178=埃及2 | B178=埃及 | C178=非洲 | D178=埃及-1 | E178=非洲
A179=伊拉克1 | B179=伊拉克 | C179=中东 | D179=伊拉克 | E179=中东
A180=多米尼加2 | B180=加勒比海 | C180=美洲 | D180=加勒比海 | E180=美洲
A181=哥伦比亚1 | B181=哥伦比亚 | C181=美洲 | D181=哥伦比亚 | E181=美洲
A182=墨西哥1 | B182=墨西哥-2 | C182=美洲 | D182=墨西哥-2 | E182=美洲
A183=科摩罗 | B183=科威特 | C183=中东 | D183=尼日利亚/埃塞俄比亚 | E183=非洲
A184=孟加拉3 | B184=孟加拉-1 | C184=亚洲2 | D184=孟加拉-1 | E184=亚洲2
A185=中国台湾 | B185=朝鲜-韩国 | C185=亚洲1 | D185=香港-台湾 | E185=亚洲1
A186=老挝2 | B186=阿联酋-1 | C186=中东 | D186=阿联酋-1 | E186=中东
A187=巴林1 | B187=卡塔尔 | C187=中东 | D187=埃及-2 | E187=非洲
A188=巴拉圭1 | B188=哥伦比亚 | C188=美洲 | D188=哥伦比亚 | E188=美洲
A189=斯里兰卡2 | B189=澳大利亚 | C189=亚洲2 | D189=澳大利亚 | E189=亚洲2
A190=约旦2 | B190=阿联酋-1 | C190=中东 | D190=阿联酋-1 | E190=中东
A191=马尔代夫1 | B191=马尔代夫 | C191=亚洲1 | D191=马尔代夫 | E191=亚洲1
A192=澳大利亚2 | B192=澳大利亚 | C192=亚洲2 | D192=马尔代夫 | E192=亚洲1
A193=孟加拉4 | B193=越南-2 | C193=亚洲2 | D193=越南-2 | E193=亚洲2
A194=厄瓜多尔1 | B194=加勒比海 | C194=美洲 | D194=加勒比海 | E194=美洲
A195=俄罗斯4 | B195=纵向开发 | C195=中东 | D195=伊朗+阿曼 | E195=中东
A196=孟加拉5 | B196=金三角 | C196=亚洲1 | D196=金三角 | E196=亚洲1
A197=巴基斯坦2 | B197=印度公建 | C197=亚洲2 | D197=印度公建 | E197=亚洲2
A198=刚果2 | B198=俄罗斯（西南） | C198=俄罗斯 | D198=俄罗斯（西南） | E198=俄罗斯
A199=伊拉克2 | B199=沙特工厂 | C199=中东 | D199=伊朗+阿曼 | E199=中东
A200=泰国1 | B200=越南-1 | C200=亚洲2 | D200=越南-1（工厂） | E200=亚洲2
A201=马拉维1 | B201=科威特 | C201=中东 | D201=科威特 | E201=中东
A202=沙特3 | B202=埃及 | C202=非洲 | D202=埃及-1 | E202=非洲
A203=巴西2 | B203=俄罗斯（西部） | C203=俄罗斯 | D203=俄罗斯（西部） | E203=俄罗斯
A204=巴西3 | B204=智利 | C204=美洲 | D204=智利 | E204=美洲
A205=塞内加尔2 | B205=阿塞拜疆 | C205=中亚 | D205=阿塞拜疆 | E205=中亚
A206=哈萨克斯坦2 | B206=俄罗斯（西南） | C206=俄罗斯 | D206=俄罗斯（西南） | E206=俄罗斯
A207=伊拉克3 | B207=金三角 | C207=亚洲1 | D207=金三角 | E207=亚洲1
A208=伊拉克4 | B208=阿联酋-1 | C208=中东 | D208=阿联酋-1 | E208=中东
A209=沙特4 | B209=印尼-1 | C209=亚洲2 | D209=印尼-1 | E209=亚洲2
A210=亚美尼亚1 | B210=金三角 | C210=亚洲1 | D210=金三角 | E210=亚洲1
A211=越南2 | B211=金三角 | C211=亚洲1 | D211=金三角 | E211=亚洲1
A212=尼加拉瓜 | B212=加勒比海 | C212=美洲 | D212=加勒比海 | E212=美洲
A213=巴基斯坦3 | B213=阿联酋-1 | C213=中东 | D213=阿联酋-1 | E213=中东
A214=越南3 | B214=印度公建 | C214=亚洲2 | D214=印度公建 | E214=亚洲2
A215=塞内加尔3 | B215=俄罗斯（西南） | C215=俄罗斯 | D215=俄罗斯（西南） | E215=俄罗斯
A216=埃及3 | B216=卡塔尔 | C216=中东 | D216=埃及-2 | E216=非洲
A217=格鲁吉亚1 | B217=阿塞拜疆 | C217=中亚 | D217=阿塞拜疆 | E217=中亚
A218=厄瓜多尔2 | B218=泰国 | C218=亚洲1 | D218=泰国 | E218=亚洲1
A219=亚美尼亚2 | B219=泰国 | C219=None | D219=泰国 | E219=亚洲1
A220=巴基斯坦4 | B220=孟加拉-1 | C220=亚洲2 | D220=孟加拉-1 | E220=亚洲2
A221=塞浦路斯 | B221=墨西哥-2 | C221=美洲 | D221=墨西哥-2 | E221=美洲
A222=肯尼亚2 | B222=尼日利亚/埃塞俄比亚 | C222=None | D222=尼日利亚/埃塞俄比亚 | E222=非洲
A223=阿曼2 | B223=沙特工厂 | C223=None | D223=伊朗+阿曼 | E223=中东
A224=哈萨克斯坦3 | B224=吉尔吉斯斯坦 | C224=None | D224=哈萨克斯坦-3 | E224=中亚
A225=圭亚那 | B225=哥伦比亚 | C225=None | D225=哥伦比亚 | E225=美洲
A226=柬埔寨1 | B226=泰国 | C226=None | D226=泰国 | E226=亚洲1
A227=津巴布韦1 | B227=尼日利亚/埃塞俄比亚 | C227=None | D227=尼日利亚/埃塞俄比亚 | E227=非洲
A228=中国2 | B228=吉尔吉斯斯坦 | C228=None | D228=吉尔吉斯斯坦 | E228=中亚
A229=印尼3 | B229=None | C229=None | D229=新加坡HDB | E229=亚洲1
A230=土耳其1 | B230=None | C230=None | D230=沙特-1 | E230=中东
A231=菲律宾2 | B231=None | C231=None | D231=菲律宾 | E231=亚洲2
A232=菲律宾3 | B232=None | C232=None | D232=菲律宾-2 | E232=亚洲2
A233=吉尔吉斯斯坦2 | B233=None | C233=None | D233=吉尔吉斯斯坦 | E233=中亚
A234=巴林2 | B234=None | C234=None | D234=伊朗+阿曼 | E234=中东
A235=俄罗斯5 | B235=None | C235=None | D235=罗斯托夫 | E235=俄罗斯
A236=俄罗斯6 | B236=None | C236=None | D236=哈巴 | E236=俄罗斯
A237=俄罗斯7 | B237=None | C237=None | D237=莫斯科 | E237=俄罗斯
A238=俄罗斯8 | B238=None | C238=None | D238=叶卡 | E238=俄罗斯
A239=俄罗斯9 | B239=None | C239=None | D239=新西 | E239=俄罗斯
A240=泰国2 | B240=None | C240=None | D240=泰国2 | E240=亚洲1
A241=印尼4 | B241=None | C241=None | D241=印尼-2 | E241=亚洲2
A242=卡塔尔1 | B242=None | C242=None | D242=卡塔尔 | E242=中东
A243=巴勒斯坦1 | B243=None | C243=None | D243=巴勒斯坦 | E243=中东
A244=多米尼加3 | B244=None | C244=None | D244=多米尼加 | E244=美洲
A245=秘鲁2 | B245=None | C245=None | D245=秘鲁2 | E245=美洲
A246=巴西4 | B246=None | C246=None | D246=巴西 | E246=美洲
A247=乌兹别克斯坦1 | B247=None | C247=None | D247=吉尔吉斯斯坦 | E247=中亚
A248=摩洛哥2 | B248=None | C248=None | D248=哈萨克斯坦-1 | E248=中亚
A249=圭亚那1 | B249=None | C249=None | D249=智利 | E249=美洲
A250=缅甸1 | B250=None | C250=None | D250=伊拉克 | E250=中东
A251=亚美尼亚3 | B251=None | C251=None | D251=阿塞拜疆 | E251=中亚
A252=乌兹别克斯坦2 | B252=None | C252=None | D252=莫斯科 | E252=俄罗斯
A253=乌兹别克斯坦3 | B253=None | C253=None | D253=乌兹别克斯坦 | E253=中亚
A254=越南4 | B254=None | C254=None | D254=东欧 | E254=欧洲
A255=乌兹别克斯坦4 | B255=None | C255=None | D255=哈萨克斯坦-1 | E255=中亚
A256=科索沃 | B256=None | C256=None | D256=阿塞拜疆 | E256=中亚
A257=塞内加尔4 | B257=None | C257=None | D257=非洲法语区 | E257=非洲
A258=阿联酋4 | B258=None | C258=None | D258=沙特-1 | E258=中东
A259=土耳其2 | B259=None | C259=None | D259=东欧 | E259=欧洲
A260=坦桑尼亚1 | B260=None | C260=None | D260=俄罗斯（西南） | E260=俄罗斯
A261=塔吉克斯坦2 | B261=None | C261=None | D261=阿塞拜疆 | E261=中亚
A262=埃及4 | B262=None | C262=None | D262=印度私营 | E262=亚洲2
